run,window,start_s,end_s,signal,runtime_status,raw_units_from_inf,min,mean,max
stage9,post_fault_short,2.5,3.5,PIBR1_2,readable,,177.15536908759,198.68534878675078,213.58034417464
stage9,post_fault_short,2.5,3.5,QIBR1_2,readable,,44.995243230971,62.27937571409677,88.119448141857
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_LOWV,readable,logic,0.0,0.43564356435643564,1.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_TIMER_S,readable,s,0.0,0.026766584158421265,0.15456750000008
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_DURATION_EXCEEDED,readable,logic,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_TRIP_REQUEST,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_TRIP_LATCH,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_FINAL_BRK_CMD,readable,logic,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_FINAL_CMD_BOOL,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_BRK_OPEN_BOOL,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_TRIP_CONFIRMED,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_EVENT_VALID,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_EVENT_CAUSE_CODE,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_EVENT_BRK_OPEN,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_SOURCE_AVAILABLE,readable,,1.0,1.0,1.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_AVAILABLE,readable,,1.0,1.0,1.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_CASCADE_FIRST_EVENT_TIME_S,readable,s,-1.0,-1.0,-1.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_EXISTING_BRK_CMD,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_ORIGINAL_CMD_OPEN_BOOL,readable,,0.0,0.0,0.0
